"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence"
"Ageratum conyzoides","Asterales","Asteraceae","Ageratum","Ageratum conyzoides","Hermaphrodite","self_compatible","medium",52,"Capitulum","actinomorphic",50,6.5,3,1,40,"herb","Short lived",0.55,"yes"
"Agrimonia pilosa","Rosales","Rosaceae","Agrimonia","Agrimonia pilosa","Hermaphrodite","self_compatible","low",13.7888,"Open","actinomorphic",30,7.5,1,3,2,"herb","Perennial",0.75,"no"
"Agrimonia striata","Rosales","Rosaceae","Agrimonia","Agrimonia striata","Hermaphrodite","self_compatible","low",14.3721166666667,"Open","actinomorphic",60,7.2,0.6,3,1,"herb","Perennial",0.75,"no"
"Ajuga dictyocarpa","Lamiales","Lamiaceae","Ajuga","Ajuga dictyocarpa","Hermaphrodite","self_compatible","low",15.8348583333333,"Tube","zygomorphic",15,7,6.1,6,4,"herb","Perennial",0.25,"yes"
"Ajuga forrestii","Lamiales","Lamiaceae","Ajuga","Ajuga forrestii","Hermaphrodite","self_compatible","low",21.6204976190476,"Tube","zygomorphic",80,9,8.1,6,4,"herb","Short lived",0.18,"yes"
"Ajuga reptans","Lamiales","Lamiaceae","Ajuga","Ajuga reptans","Dioecious","self_compatible","none",0,"Papilionaceous","zygomorphic",60,11.5,15.5,10,4,"herb","Perennial",0.35,"yes"
"Akebia quinata","Ranunculales","Lardizabalaceae","Akebia","Akebia quinata","Monoecious","monoecious","none",0,"Open","actinomorphic",50,15,2.5,3,140.333893087558,"vine","Perennial",6,"no"
"Alangium platanifolium","Cornales","Cornaceae","Alangium","Alangium platanifolium","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,15,10.5,12,31.12,"shrub","Perennial",3,"yes"
"Albizzia julibrissin","Fabales","Fabaceae","Albizzia","Albizia julibrissin","Hermaphrodite","self_incompatible","low",13,"Brush","actinomorphic",20000,2,4,14,10,"tree","Perennial",9,"yes"
"Alisma plantago aquatica","Alismatales","Alismataceae","Alisma","Alisma gramineum","Hermaphrodite","self_compatible","low",13.0922071428571,"Open","actinomorphic",30,6,2.5,0.45,20,"herb","Perennial",0.275,"yes"
"Allium ampeloprasum","Asparagales","Amaryllidaceae","Allium","Allium ampeloprasum","Hermaphrodite","self_compatible","low",20,"Open","actinomorphic",250,6,5,35.5,6,"herb","Perennial",1.25,"yes"
"Allium atrosanguineum","Asparagales","Amaryllidaceae","Allium","Allium atrosanguineum","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",50,12.551625,11.416875,5.25,6,"herb","Perennial",0.3,"yes"
"Allium cyathophorum","Asparagales","Amaryllidaceae","Allium","Allium cyathophorum","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",750,3.5,7.22988333333333,3.5,5.1,"herb","Perennial",0.225,"yes"
"Allium macranthum","Asparagales","Amaryllidaceae","Allium","Allium macranthum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",35,20,25,14,8,"herb","Perennial",0.4,"yes"
"Allium wallichii","Asparagales","Amaryllidaceae","Allium","Allium wallichii","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",35,18,5,9,6,"herb","Perennial",0.525,"yes"
"Alocasia odora","Alismatales","Arecaceae","Alocasia","Alocasia odora","Hermaphrodite","self_compatible","low",13,"Spike","actinomorphic",360,2,1,1,6,"herb","Perennial",1.25,"no"
"Aloyssia gratissima","Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","Hermaphrodite","self_compatible","medium",68,"Tube","actinomorphic",2000,2.1,2.2,2,2,"shrub","Perennial",1.75,"yes"
"Alpinia formosana","Zingiberales","Zingiberaceae","Alpinia","Alpinia formosana","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",35,16.1,20,20,45,"herb","Perennial",2.25,"yes"
"Alpinia intermedia","Zingiberales","Zingiberaceae","Alpinia","Alpinia intermedia","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",70,15,15,20,42,"herb","Perennial",1.25,"yes"
"Alstonia macrophylla","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","low",11.002725,"Tube","actinomorphic",6500,12.5,5.5,5,70,"tree","Perennial",17.1,"yes"
"Alternanthera echinocephala","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera echinocephala","Hermaphrodite","self_compatible","low",1.5,"Campanulate","actinomorphic",5000,10,8,0.2,1,"shrub","Perennial",1.25,"yes"
"Alternanthera filifolia","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera filifolia","Hermaphrodite","self_compatible","low",10.29,"Tube","actinomorphic",5000,7.3,8.11,0.2,1,"shrub","Perennial",1,"no"
"Amaranthus spinosus","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus spinosus","Monoecious","monoecious","none",0,"Open","actinomorphic",1500,2,2,2,1,"herb","Short lived",0.6,"no"
"Ambrosia trifida","Asterales","Asteraceae","Ambrosia","Ambrosia trifida","Monoecious","monoecious","none",0,"Capitulum","actinomorphic",1000,2.5,2.5,2,31.12,"herb","Short lived",2.15,"no"
"Amelanchier canadensis","Rosales","Rosaceae","Amelanchier","Amelanchier arborea","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",10000,25,15,2.8,10,"tree","Perennial",7.5,"yes"
"Ammannia coccinea","Myrtales","Lythraceae","Ammannia","Ammannia coccinea","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",350,4.5,4,1.5,43.5409166666667,"herb","Short lived",0.25,"no"
"Amorpha canescens","Fabales","Fabaceae","Amorpha","Amorpha canescens","Hermaphrodite","self_compatible","medium",52.5,"Tube","zygomorphic",3000,2.25,4.5,2.5,2,"shrub","Perennial",0.5,"yes"
"Amorpha fruticosa","Fabales","Fabaceae","Amorpha","Amorpha fruticosa","Hermaphrodite","self_compatible","low",10.9121541666667,"Tube","zygomorphic",5000,2.75,4.5,4.5,2,"shrub","Perennial",1.75,"yes"
"Gonolobus laevis","Gentianales","Apocynaceae","Ampelamus","Ampelamus laevis","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",75,7.2,6,6,72.59155,"herb","Perennial",6,"yes"
"Ampelopsis brevipedunculata","Vitales","Vitaceae","Ampelopsis","Ampelopsis glandulosa","Hermaphrodite","self_compatible","low",9.65,"Open","actinomorphic",10000,1.5,2.55429285714286,0.5,4,"vine","Perennial",5,"yes"
"Amphicarpaea bracteata","Fabales","Fabaceae","Amphicarpaea","Amphicarpaea bracteata","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",300,6,15,6.5,4,"herb","Short lived",0.75,"yes"
"Orchis morio","Asparagales","Orchidaceae","Anacamptis","Anacamptis morio","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",30,10,20,10.2982,3500,"herb","Perennial",0.2,"no"
"Helichrysum alpinum","Asterales","Asteraceae","Anaphalioides","Anaphalioides alpinum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",3,22,10,3.7,183,"shrub","Perennial",3,"yes"
"Helichrysum bellidioides","Asterales","Asteraceae","Anaphalioides","Anaphalioides bellidioides","Hermaphrodite","self_incompatible","none",30.12,"Capitulum","actinomorphic",50,17.5,6,3.7,171,"herb","Perennial",0.15,"yes"
"Anaphalis nepalensis","Asterales","Asteraceae","Anaphalis","Anaphalis nepalensis","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,14.1,10,0.5,100,"herb","Perennial",0.225,"yes"
"Anchusa azurea","Boraginales","Boraginaceae","Anchusa","Anchusa azurea","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",50,11.5,8,4.5,4,"herb","Perennial",0.85,"yes"
"Andromeda glaucophylla","Ericales","Ericaceae","Andromeda","Andromeda glaucophylla","Hermaphrodite","partially_self_compatible","low",40,"Campanulate","actinomorphic",800,4.5,4.1,2.45,47,"shrub","Perennial",0.35,"yes"
"Androsace spinulifera","Ericales","Primulaceae","Androsace","Androsace spinulifera","Hermaphrodite","self_compatible","low",16.40605,"Tube","actinomorphic",200,9,3,3,38.679875,"herb","Perennial",0.21,"yes"
"Andryala integrifolia","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,14.5,4,10,75,"herb","Perennial",0.46,"no"
"Anemone demissa","Ranunculales","Ranunculaceae","Anemone","Anemone demissa","Hermaphrodite","self_compatible","low",14.20805,"Open","actinomorphic",15,52,4.1,1.9,1,"herb","Perennial",0.335,"no"
"Hepatica acutiloba","Ranunculales","Ranunculaceae","Anemone","Anemone hepatica","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",15,25,1,2,15,"herb","Perennial",0.125,"no"
"Anemone rivularis","Ranunculales","Ranunculaceae","Anemone","Anemone rivularis","Hermaphrodite","self_compatible","medium",25,"Open","actinomorphic",20,20,5,1,100,"herb","Perennial",0.8,"no"
"Anemone rupestris","Ranunculales","Ranunculaceae","Anemone","Anemone rupestris","Hermaphrodite","self_compatible","low",14.6794,"Open","actinomorphic",15,25,7.1,3.5,1,"herb","Perennial",0.5,"no"
"Anemonella thalictroides","Ranunculales","Ranunculaceae","Anemonella","Anemonella thalictroides","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,18.5,5,0.5,1,"herb","Perennial",0.2,"no"
"Anethum graveolens","Apiales","Apiaceae","Anethum","Anethum graveolens","Hermaphrodite","self_compatible","low",20.1790666666667,"Open","actinomorphic",1600,1,1.1,0.5,2,"herb","Short lived",0.75,"yes"
"Angelica archangelica","Apiales","Apiaceae","Angelica","Angelica archangelica","Hermaphrodite","partially_self_compatible","low",15.137575,"Open","actinomorphic",2000,4.5,0.5,1.5,2,"herb","Perennial",0.85,"yes"
"Angelica polymorpha","Apiales","Apiaceae","Angelica","Angelica polymorpha","Hermaphrodite","self_compatible","low",17.5221666666667,"Open","actinomorphic",1000,1,1,0.5,2,"herb","Perennial",0.7,"yes"
"Angelica pubescens","Apiales","Apiaceae","Angelica","Angelica pubescens","Hermaphrodite","self_compatible","low",15.3444,"Open","actinomorphic",1600,1,1,0.5,6,"herb","Perennial",1.5,"yes"
"Angelica sylvestris","Apiales","Apiaceae","Angelica","Angelica sylvestris","Hermaphrodite","self_compatible","low",15.8596,"Open","actinomorphic",1500,4.5,0.5,1.5,2,"herb","Perennial",1.75,"yes"
"Anisotome aromatica","Apiales","Apiaceae","Anisotome","Anisotome aromatica","Dioecious","dioecious","none",0,"Open","actinomorphic",200,4,1,0.5,2,"herb","Perennial",0.25,"no"
"Anisotome flexuosus","Apiales","Apiaceae","Anisotome","Anisotome flexuosa","Dioecious","dioecious","none",0,"Open","actinomorphic",500,4,1,0.5,2,"herb","Perennial",0.25,"no"
"Antennaria alpina","Asterales","Asteraceae","Antennaria","Antennaria alpina","Monoecious","dioecious","none",0,"Capitulum","actinomorphic",5,1,4.85,5,60,"herb","Perennial",0.1,"yes"
"Antennaria plantaginifolia","Asterales","Asteraceae","Antennaria","Antennaria plantaginifolia","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",15,6,4.1,5,60,"herb","Perennial",0.16,"yes"
"Anthemis cotula","Asterales","Asteraceae","Anthemis","Anthemis cotula","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",10,3,9.5,3,115,"herb","Short lived",0.35,"no"
"Anthriscus sylvestris","Apiales","Apiaceae","Anthriscus","Anthriscus sylvestris","Monoecious","self_compatible","medium",50.5,"Open","zygomorphic",800,4.5,4.79769166666667,1,2,"herb","Perennial",0.9,"yes"
"Antidesma joponicum","Malpighiales","Phyllanthaceae","Antidesma","Antidesma japonicum","Dioecious","dioecious","none",0,"Open","actinomorphic",1000,1.25,1.25,0.5,1.1,"shrub","Perennial",5,"yes"
"Antidesma madagascariense","Malpighiales","Phyllanthaceae","Antidesma","Antidesma madagascariense","Dioecious","dioecious","none",0,"Open","actinomorphic",5000,2,2,0.5,2,"tree","Perennial",9.1,"no"
"Antirhea borbonica","Gentianales","Rubiaceae","Antirhea","Antirhea borbonica","Hermaphrodite","self_compatible","low",11.9612957875458,"Tube","actinomorphic",2000,0.75,5.1,2.5,2,"shrub","Perennial",4,"yes"
"Aphloia theiformis","Crossosomatales","Aphloiaceae","Aphloia","Aphloia theiformis","Hermaphrodite","self_compatible","low",12.2221076923077,"Brush","actinomorphic",2000,20,9.1,0.1,6,"tree","Perennial",5,"yes"
"Apios tuberosa","Fabales","Fabaceae","Apios","Apios americana","Hermaphrodite","partially_self_compatible","none",0,"Open","zygomorphic",500,14.1,11.5,1.1,11.5,"herb","Perennial",3,"yes"
"Apocynum cannabinum","Gentianales","Apocynaceae","Apocynum","Apocynum cannabinum","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",800,2.5,3.1,0.1,328,"herb","Perennial",1.25,"yes"
"Aquilegia canadensis","Ranunculales","Ranunculaceae","Aquilegia","Aquilegia canadensis","Hermaphrodite","self_compatible","none",48,"Open","actinomorphic",15,24.1,21.1,12.1,118.6,"herb","Perennial",0.525,"yes"
"Arabis alpina","Brassicales","Brassicaceae","Arabis","Arabis alpina","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",15,9.1,7.5,0.3,2.5,"herb","Perennial",0.2,"yes"
"Arachis microsperma","Fabales","Fabaceae","Arachis","Arachis microsperma","Hermaphrodite","self_compatible","low",11.9219523809524,"Papilionaceous","zygomorphic",5,16,61.5,40,4,"herb","Perennial",1.34844166666667,"no"
"Aralia cordata","Apiales","Araliaceae","Aralia","Aralia cordata","Hermaphrodite","self_compatible","low",11.9433,"Open","actinomorphic",5500,2,1,1.1,5,"herb","Perennial",0.9,"yes"
"Aralta elata","Apiales","Araliaceae","Aralia","Aralia elata","Monoecious","monoecious","none",0.2608,"Open","actinomorphic",15000,1.5,1,1.1,5,"tree","Perennial",5,"yes"
"Arctium lappa","Asterales","Asteraceae","Arctium","Arctium lappa","Hermaphrodite","self_compatible","medium",50.5,"Capitulum","actinomorphic",100,28.5,15.323725,20,40,"herb","Short lived",1.6,"no"
"Arctium minus","Asterales","Asteraceae","Arctium","Arctium minus","Hermaphrodite","self_compatible","medium",50.5,"Capitulum","actinomorphic",25,60,40,15,30,"herb","Short lived",1,"yes"
"Arctotheca calendula","Asterales","Asteraceae","Arctotheca","Arctotheca calendula","Hermaphrodite","self_compatible","low",23.4383466666667,"Capitulum","actinomorphic",20,37.5,4.1,0.5,60,"herb","Short lived",0.15,"yes"
"Ardisia pusilla","Ericales","Primulaceae","Ardisia","Ardisia pusilla","Hermaphrodite","self_compatible","low",16.1239833333333,"Open","actinomorphic",10,3.5,1,2.5,5.5,"shrub","Perennial",0.23,"no"
"Ardisia quinquegona","Ericales","Primulaceae","Ardisia","Ardisia quinquegona","Hermaphrodite","self_compatible","low",7.91256185897436,"Open","actinomorphic",5000,3,1.5,2.5,5,"shrub","Perennial",3.1,"no"
"Ardisia sieboldii","Ericales","Primulaceae","Ardisia","Ardisia sieboldii","Hermaphrodite","self_compatible","low",0.05,"Open","actinomorphic",50000,15,2,10.5,6,"tree","Perennial",8,"no"
"Arenaria pseudofrigida","Caryophyllales","Caryophyllaceae","Arenaria","Arenaria pseudofrigida","Hermaphrodite","self_compatible","low",11.0401104166667,"Open","actinomorphic",50,10.1,7,3,15,"shrub","Perennial",0.035,"no"
"Arenaria yunnanensis","Caryophyllales","Caryophyllaceae","Arenaria","Arenaria yunnanensis","Hermaphrodite","self_compatible","low",13.1937,"Open","actinomorphic",50,16,6.93593601190477,6.5,15,"herb","Perennial",0.225,"no"
"Argemone_subfusiformis","Ranunculales","Papaveraceae","Argemone","Argemone subfusiformis","Hermaphrodite","self_compatible","low",17.7654273809524,"Open","actinomorphic",5,50,25,1,225,"herb","Short lived",0.75,"yes"
"Argusia argentea","Boraginales","Boraginaceae","Argusia","Argusia argentea","Hermaphrodite","self_compatible","low",8.52043328754579,"Open","actinomorphic",4000,7,3,1,4,"shrub","Perennial",2.5,"yes"
"Arisaema triphyllum","Alismatales","Araceae","Arisaema","Arisaema triphyllum","Dioecious","dioecious","none",0,"Open","zygomorphic",50,60,120,1,5,"herb","Perennial",0.45,"no"
"Aristolochia tomentosa","Piperales","Aristolochiaceae","Aristolochia","Aristolochia tomentosa","Hermaphrodite","self_compatible","low",13.7604833333333,"Tube","zygomorphic",50,13.2,42.5,0.1,43,"vine","Perennial",12.5,"yes"
"Arjona_longifolia","Saxifragales","Schoepfiaceae","Arjona","Arjona longifolia","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",100,7,14.5,13,58.4109914285714,"shrub","Perennial",0.4,"yes"
"Armeria scabra","Caryophyllales","Plumbaginaceae","Armeria","Armeria scabra","Hermaphrodite","self_compatible","low",15.182175,"Campanulate","actinomorphic",500,5,6.1,5,5,"shrub","Perennial",0.175,"yes"
"Armeria velutina","Caryophyllales","Plumbaginaceae","Armeria","Armeria velutina","Hermaphrodite","self_compatible","low",15.2684833333333,"Open","actinomorphic",250,7,2,0.1,1,"herb","Perennial",0.4,"yes"
"Arnica alpina","Asterales","Asteraceae","Arnica","Arnica alpina","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",6,35,8.75,5.1,40,"herb","Perennial",0.175,"yes"
"Arnica angustifolia","Asterales","Asteraceae","Arnica","Arnica angustifolia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",6,35,9.1,6,40,"herb","Perennial",0.175,"yes"
"Arnica montana","Asterales","Asteraceae","Arnica","Arnica montana","Hermaphrodite","self_incompatible","none",1.3,"Capitulum","actinomorphic",5,7,8.3542256555944,10,40,"herb","Perennial",0.4,"yes"
"Cacalia atriplicifolia","Asterales","Asteraceae","Arnoglossum","Arnoglossum atriplicifolium","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",300,9,24,8,4.5,"herb","Perennial",1.5,"yes"
"Cacalia tuberosa","Asterales","Asteraceae","Arnoglossum","Arnoglossum plantagineum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",200,15,10,9,6,"herb","Perennial",0.8,"no"
"Aronia melanocarpa","Rosales","Rosaceae","Aronia","Aronia melanocarpa","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",3000,9.1,3.3,4,1.1,"shrub","Perennial",1.35,"yes"
"Aruncus sylvester","Rosales","Rosaceae","Aruncus","Aruncus dioicus","Dioecious","dioecious","none",0,"Brush","actinomorphic",14000,5,31.12,0.55,3,"herb","Perennial",1.15,"yes"
"Ascerates floridana","Gentianales","Apocynaceae","Asclepias","Asclepias floridana","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",250,12.3570972222222,12.22975,10.4215357142857,100,"shrub","Perennial",1.79595495614035,"yes"
"Asclepias incarnata","Gentianales","Apocynaceae","Asclepias","Asclepias incarnata","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",3500,5.1,10,0.1,58,"herb","Perennial",1.05,"yes"
"Asclepias purpurascens","Gentianales","Apocynaceae","asclepias","Asclepias purpurascens","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",300,9,10,0.1,166,"herb","Perennial",0.5,"yes"
